Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1316.7280612757506,1261.7165445050887,1316.7280612757506,4,2026-04-17 20:26:45
1,1439.0905930228087,1292.8774104768643,1435.2013263561419,4,2026-04-17 20:26:47
